  0.000000 -0.333333  0.708333
 -0.041667 -0.166667  1.041667
 -0.041667 -0.166667  1.000000
 -0.083333 -0.166667  1.000000
 -0.041667 -0.166667  1.000000
 -0.041667 -0.125000  1.000000
 -0.041667 -0.125000  1.041667
 -0.041667 -0.166667  1.041667
  0.000000 -0.166667  1.041667
 -0.041667 -0.125000  1.041667
 -0.041667 -0.166667  1.041667
 -0.083333 -0.166667  1.041667
 -0.041667 -0.166667  1.041667
 -0.041667 -0.166667  1.083333
 -0.041667 -0.125000  1.083333
 -0.041667 -0.166667  1.083333
 -0.041667 -0.166667  1.041667
 -0.041667 -0.125000  1.041667
